crop,year,rep,trt,plot,herbicide,species,injury,weight,weightkg,ndvi,cover1,cover
soybean,2013,1,1,104,Nontreated,oat,0.0001,3.86,810.5,0.585,69.54,0.7
soybean,2013,2,1,206,Nontreated,oat,0.0001,2.3,483,0.552,64.03,0.64
soybean,2013,3,1,301,Nontreated,oat,0.0001,3.06,642.5,0.595,65.36,0.65
soybean,2013,4,1,402,Nontreated,oat,0.0001,4.24,890.3,0.579,63.01,0.63
soybean,2013,1,2,113,Spartan,oat,0.01,3.7,776.9,0.608,59.82,0.6
soybean,2013,2,2,214,Spartan,oat,0.01,3.82,802.1,0.599,69.98,0.7
soybean,2013,3,2,304,Spartan,oat,0.01,3.39,711.8,0.552,55.87,0.56
soybean,2013,4,2,407,Spartan,oat,0.01,2.25,472.5,0.541,50.4,0.5
soybean,2013,1,3,115,Valor,oat,0.01,3.2,671.9,0.582,63.94,0.64
soybean,2013,2,3,209,Valor,oat,0.01,2.69,564.9,0.417,55.36,0.55
soybean,2013,3,3,306,Valor,oat,0.01,4.01,842,0.573,65.71,0.66
soybean,2013,4,3,411,Valor,oat,0.01,3.09,648.8,0.599,62.17,0.62
soybean,2013,1,4,109,Sencor,oat,0.01,4.63,972.2,0.642,75.33,0.75
soybean,2013,2,4,202,Sencor,oat,0.01,3.2,671.9,0.468,62.12,0.62
soybean,2013,3,4,303,Sencor,oat,0.01,3.43,720.2,0.556,63.91,0.64
soybean,2013,4,4,401,Sencor,oat,0.01,2.46,516.6,0.564,49.76,0.5
soybean,2013,1,5,102,Classic,oat,0.01,3.22,676.1,0.624,74.15,0.74
soybean,2013,2,5,207,Classic,oat,0.01,2.37,497.7,0.551,60.26,0.6
soybean,2013,3,5,314,Classic,oat,10,3.98,835.7,0.575,68.8,0.69
soybean,2013,4,5,404,Classic,oat,0.01,4.75,997.4,0.567,57.89,0.58
soybean,2013,1,6,106,AuthorityMTZ,oat,0.01,3.2,671.9,0.629,72.28,0.72
soybean,2013,2,6,201,AuthorityMTZ,oat,0.01,4.22,886.1,0.561,69.43,0.69
soybean,2013,3,6,307,AuthorityMTZ,oat,0.01,4.35,913.4,0.599,62.64,0.63
soybean,2013,4,6,403,AuthorityMTZ,oat,0.01,4.55,955.4,0.533,59.7,0.6
soybean,2013,1,7,111,Gangster,oat,0.01,3.62,760.1,0.614,62.75,0.63
soybean,2013,2,7,210,Gangster,oat,0.01,2.71,569.1,0.443,59.96,0.6
soybean,2013,3,7,313,Gangster,oat,0.01,4.74,995.3,0.611,63.87,0.64
soybean,2013,4,7,408,Gangster,oat,0.01,2.35,493.5,0.563,59.56,0.6
soybean,2013,1,8,108,Zidua,oat,20,2.39,501.9,0.534,37.36,0.37
