crop,year,rep,trt,plot,herbicide,species,weight
soybean,2013,1,1,104,Nontreated,oat,3.86
soybean,2013,2,1,206,Nontreated,oat,2.3
soybean,2013,3,1,301,Nontreated,oat,3.06
soybean,2013,4,1,402,Nontreated,oat,4.24
soybean,2013,1,2,113,Spartan,oat,3.7
soybean,2013,2,2,214,Spartan,oat,3.82
soybean,2013,3,2,304,Spartan,oat,3.39
soybean,2013,4,2,407,Spartan,oat,2.25
soybean,2013,1,3,115,Valor,oat,3.2
soybean,2013,2,3,209,Valor,oat,2.69
soybean,2013,3,3,306,Valor,oat,4.01
soybean,2013,4,3,411,Valor,oat,3.09
soybean,2013,1,4,109,Sencor,oat,4.63
soybean,2013,2,4,202,Sencor,oat,3.2
soybean,2013,3,4,303,Sencor,oat,3.43
soybean,2013,4,4,401,Sencor,oat,2.46
soybean,2013,1,5,102,Classic,oat,3.22
soybean,2013,2,5,207,Classic,oat,2.37
soybean,2013,3,5,314,Classic,oat,3.98
soybean,2013,4,5,404,Classic,oat,4.75
soybean,2013,1,6,106,AuthorityMTZ,oat,3.2
soybean,2013,2,6,201,AuthorityMTZ,oat,4.22
soybean,2013,3,6,307,AuthorityMTZ,oat,4.35
soybean,2013,4,6,403,AuthorityMTZ,oat,4.55
soybean,2013,1,7,111,Gangster,oat,3.62
soybean,2013,2,7,210,Gangster,oat,2.71
soybean,2013,3,7,313,Gangster,oat,4.74
soybean,2013,4,7,408,Gangster,oat,2.35
soybean,2013,1,8,108,Zidua,oat,2.39
soybean,2013,2,8,203,Zidua,oat,2.21
soybean,2013,3,8,315,Zidua,oat,2.02
soybean,2013,4,8,406,Zidua,oat,2.13
soybean,2013,1,9,114,Firstrate,oat,3.41
soybean,2013,2,9,205,Firstrate,oat,2.85
soybean,2013,3,9,308,Firstrate,oat,4.3
soybean,2013,4,9,409,Firstrate,oat,3.51
soybean,2013,1,10,110,Dual ,oat,5.03
soybean,2013,2,10,204,Dual ,oat,3.4
soybean,2013,3,10,311,Dual ,oat,3.58
soybean,2013,4,10,410,Dual ,oat,3.34
soybean,2013,1,11,107,Warrant,oat,3.94
soybean,2013,2,11,212,Warrant,oat,3.68
soybean,2013,3,11,310,Warrant,oat,4.07
soybean,2013,4,11,405,Warrant,oat,3.36
soybean,2013,1,12,112,Flexstar,oat,3.53
soybean,2013,2,12,208,Flexstar,oat,2.9
soybean,2013,3,12,305,Flexstar,oat,3.95
soybean,2013,4,12,414,Flexstar,oat,3.24
soybean,2013,1,13,105,Pursuit,oat,1.82
soybean,2013,2,13,215,Pursuit,oat,0.74
soybean,2013,3,13,312,Pursuit,oat,1.26
soybean,2013,4,13,415,Pursuit,oat,2.15
soybean,2013,1,14,103,Extreme,oat,1.76
soybean,2013,2,14,213,Extreme,oat,3.53
soybean,2013,3,14,302,Extreme,oat,1.15
soybean,2013,4,14,413,Extreme,oat,1.17
soybean,2013,1,15,101,Cobra,oat,5.57
soybean,2013,2,15,211,Cobra,oat,2.82
soybean,2013,3,15,309,Cobra,oat,5.02
soybean,2013,4,15,412,Cobra,oat,3.42
